pathway	description	X18S_1_10_S10_L001	X18S_1_11_S11_L001	X18S_1_12_S12_L001	X18S_1_13_S13_L001	X18S_1_14_S14_L001	X18S_1_15_S15_L001	X18S_1_16_S16_L001	X18S_1_17_S17_L001	X18S_1_18_S18_L001	X18S_1_19_S19_L001	X18S_1_1_S1_L001	X18S_1_20_S20_L001	X18S_1_21_S21_L001	X18S_1_22_S22_L001	X18S_1_23_S23_L001	X18S_1_24_S24_L001	X18S_1_25_S25_L001	X18S_1_26_S26_L001	X18S_1_27_S27_L001	X18S_1_28_S28_L001	X18S_1_29_S29_L001	X18S_1_2_S2_L001	X18S_1_30_S30_L001	X18S_1_31_S31_L001	X18S_1_32_S32_L001	X18S_1_33_S33_L001	X18S_1_34_S34_L001	X18S_1_35_S35_L001	X18S_1_36_S36_L001	X18S_1_37_S37_L001	X18S_1_38_S38_L001	X18S_1_39_S39_L001	X18S_1_3_S3_L001	X18S_1_40_S40_L001	X18S_1_41_S41_L001	X18S_1_42_S42_L001	X18S_1_43_S43_L001	X18S_1_44_S44_L001	X18S_1_45_S45_L001	X18S_1_46_S46_L001	X18S_1_47_S47_L001	X18S_1_48_S48_L001	X18S_1_49_S49_L001	X18S_1_4_S4_L001	X18S_1_50_S50_L001	X18S_1_51_S51_L001	X18S_1_52_S52_L001	X18S_1_53_S53_L001	X18S_1_54_S54_L001	X18S_1_55_S55_L001	X18S_1_56_S56_L001	X18S_1_57_S57_L001	X18S_1_58_S58_L001	X18S_1_59_S59_L001	X18S_1_5_S5_L001	X18S_1_6_S6_L001	X18S_1_7_S7_L001	X18S_1_8_S8_L001	X18S_1_9_S9_L001
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	2603.8916	0	1.9999	0	0	2561.3802	0	0	0	0	1937.2203	652.1698	0	0	0	1.9999	1209.6237	0	0	0	53.9657	0	872.8037	0	0	914.03	1.9999	4296.4331	0	0	0	0	0	1046.9308	0	1777.517	0	0	1.9999	0	0	0	0	0	0	405.3896	0	0	1.9999	0	1871.725	797.5751	1222.0069	1743.7449	1588.1588	17.9927	3.9998	2	5.999
AST-PWY	L-arginine degradation II (AST pathway)	13804.4444	48108.8889	13696.6667	58334.4444	51540	12620	24617.7778	26227.7778	18285.5556	22395.5556	10296.6667	58756	97018.8889	31245.5556	27555.5556	32241.1111	13650	30754.4444	23455.5556	68146.6667	35365.5556	7234.4444	34878.8889	71934.4444	15426.6667	29462.2222	12244.4444	18240	20412.2222	60200	38254.4444	78902.2222	29265.5556	12125.5556	14207.7778	21156.6667	4973.3333	155073.3333	24900	127417.7778	15508.8889	147022.2222	11624.4444	47842.2222	34170	15021.1111	8801.1111	8423.3333	15237.7778	36200	66312.2222	8506.6667	10232.2222	3907.7778	10591.1111	18380	36234.4444	38016.6667	15706.6667
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	17368.7808	58285.7692	16594.5225	70674.4231	62442.6923	15924.3488	29825.3846	31775.9615	22153.6538	27133.0769	12954.0205	71342.2995	117542.1154	37855.1923	33384.6154	39061.8302	16833.2565	37260.1923	28417.3077	82562.3077	42859.7953	8764.8077	42468.9733	87151.3462	18690	35916.631	14835.0995	23167.3353	24730.1923	72934.6154	46346.7308	95593.0769	35456.3462	14946.4873	17213.2692	26066.4929	6025.3846	187877.3077	30167.7918	154371.5385	18789.6154	178123.0769	14083.4615	57962.6923	41398.2692	18297.077	10662.8846	10205.1923	18461.6379	43857.6923	80794.301	10501.2791	12696.5842	5179.8069	13222.6324	22272.4325	43900.3912	46059.1379	19030.6829
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	16405.732	50938.8235	14503.6332	61765.8824	54571.7647	15132.5366	26065.8824	27770.5882	19361.1765	23712.9412	12233.2536	62627.1178	102725.8824	33083.5294	29176.4706	34138.9273	15252.6251	32563.5294	24835.2941	72155.2941	37480.4465	7660	37494.3036	76165.8824	16334.1176	31786.9117	12965.9861	22321.8177	21612.9412	63741.1765	40504.7059	83543.5294	30987.0588	13530.362	15043.5294	23574.2772	5265.8824	164195.2941	26365.9862	134912.9412	16421.1765	155670.5882	12308.2353	50656.4706	36180	16166.7185	9318.8235	8918.8235	16135.3979	38329.4118	71423.219	9535.3541	11651.4504	5477.0225	12288.9195	19472.6982	38368.4429	40254.2214	16634.429
CALVIN-PWY	Calvin-Benson-Bassham cycle	5612.3857	0	5.9976	0	0	5421.3375	0	0	0	0	4178.0844	1947.5258	0	0	0	5.999	3030.9714	0	0	0	161.3164	0	2474.5857	0	0	2558.4646	5.9973	8748.8933	0	0	0	0	0	2633.8048	0	4490.1702	0	0	5.9987	0	0	0	0	0	0	1144.5196	0	0	5.9978	0	5270.3869	1980.7599	2908.7791	2965.1502	3609.2841	53.8536	11.9963	5.9991	17.9809
COA-PWY	coenzyme A biosynthesis I	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53204.6	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	1487.1843	0	1.0588	0	0	1471.7997	0	0	0	0	1106.1954	346.745	0	0	0	1.0588	663.0444	0	0	0	28.5868	0	466.561	0	0	489.7409	1.0588	2503.4572	0	0	0	0	0	573.3426	0	972.537	0	0	1.0588	0	0	0	0	0	0	216.8683	0	0	1.0588	0	1001.7854	438.0867	678.2197	1118.6394	892.539	9.5291	2.1176	1.0588	3.1764
COLANSYN-PWY	colanic acid building blocks biosynthesis	3921.069	0	3.3328	0	0	3832.1968	0	0	0	0	2917.8105	1071.619	0	0	0	3.3331	1914.453	0	0	0	89.8567	0	1432.4519	0	0	1494.7297	3.3328	6337.9669	0	0	0	0	0	1659.0065	0	2820.2848	0	0	3.3331	0	0	0	0	0	0	664.5431	0	0	3.3329	0	3065.987	1258.8195	1902.8996	2388.9309	2435.5789	29.9693	6.6659	3.3332	9.996
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	15753.1703	49483.4286	14089.102	60001.1429	53012.5714	14519.2631	25321.1429	26977.1429	18808	23035.4286	11746.9726	60792.7304	99790.8571	32138.2857	28342.8571	33163.3878	14731.4895	31633.1429	24125.7143	70093.7143	36405.7547	7441.1429	36361.312	73989.7143	15867.4286	30814.0931	12595.3878	21380.1266	20995.4286	61920	39347.4286	81156.5714	30101.7143	13069.9095	14613.7143	22775.2996	5115.4286	159504	25612.5306	131058.2857	15952	151222.8571	11956.5714	49209.1429	35146.2857	15676.1456	9052.5714	8664	15674.2449	37234.2857	69250.2074	9206.647	11232.3635	5194.4006	11825.7814	18915.0611	37271.9184	39103.9592	16158.7347
DAPLYSINESYN-PWY	L-lysine biosynthesis I	15037.9127	48710.25	13868.6484	59063.625	52184.25	13825.6292	24925.5	26555.625	18514.125	22675.5	11214.5539	59741.6144	98231.625	31636.125	27900	32644.8984	14299.8273	31138.875	23748.75	68998.5	35828.5031	7324.875	35654.6875	72833.625	15619.5	30186.9417	12398.2734	20242.2915	20667.375	60952.5	38732.625	79888.5	29631.375	12691.6147	14385.375	22124.4099	5035.5	157011.75	25212.0234	129010.5	15702.75	148860	11769.75	48440.25	34597.125	15366.791	8911.125	8528.625	15429.0234	36652.5	67870.4835	8929.415	10848.3886	4723.846	11363.5141	18616.7099	36688.9218	38492.6484	15905.3202
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	41.3727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53202.7999	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
ECASYN-PWY	enterobacterial common antigen biosynthesis	0	0	0	0	0	0	0	0	0	0	0	5.565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTBACSYN-PWY	enterobactin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	16.4533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAO-PWY	fatty acid &beta;-oxidation I	15144.9453	51957.6	14792.58	63001.2	55663.2	13862.0372	26587.2	28326	19748.4	24187.2	11296.0816	63518.2605	104780.4	33745.2	29760	34820.58	14851.2394	33214.8	25332	73598.4	38199.6572	7813.2	37747.8261	77689.2	16660.8	31901.5587	13224.18	20089.661	22045.2	65016	41314.8	85214.4	31606.8	13190.1382	15344.4	23009.6955	5371.2	167479.2	26892.18	137611.2	16749.6	158784	12554.4	51669.6	36903.6	16259.322	9505.2	9097.2	16456.98	39096	71785.8338	9259.2428	11161.2965	4380.542	11582.1887	19852.0194	39133.56	41058.18	16963.7399
FASYN-ELONG-PWY	fatty acid elongation -- saturated	24145.3285	78723.6364	22413.8595	95456.3636	84338.1818	22188.3143	40283.6364	42918.1818	29921.8182	36647.2727	18006.7189	96511.6001	158758.1818	51129.0909	45090.9091	52759.314	23038.474	50325.4545	38381.8182	111512.7273	57901.4728	11838.1818	57572.1093	117710.9091	25243.6364	48732.8516	20037.4958	32451.5885	33401.8182	98509.0909	62598.1818	129112.7273	47889.0909	20449.0992	23249.0909	35650.378	8138.1818	253756.3636	40746.5868	208501.8182	25378.1818	240581.8182	19021.8182	78287.2727	55914.5455	24811.2297	14401.8182	13783.6364	24935.6777	59236.3636	109578.8904	14383.6257	17459.2654	7524.6146	18269.2865	30086.5523	59294.9917	62210.2231	25705.2147
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	17784.4369	56475.6522	16079.8299	68479.5652	60503.4783	16376.4601	28899.1304	30789.1304	21465.6522	26290.4348	13262.0747	69342.8014	113891.7391	36679.5652	32347.8261	37849.3951	16731.4825	36103.0435	27534.7826	79998.2609	41546.7074	8492.6087	41444.0568	84444.7826	18109.5652	35110.0354	14375.0472	24063.6916	23962.1739	70669.5652	44907.3913	92624.3478	34355.2174	14846.2555	16678.6957	25874.1502	5838.2609	182042.6087	29231.569	149577.3913	18206.087	172591.3043	13646.087	56162.6087	40112.6087	17865.5335	10331.7391	9888.2609	17888.9603	42495.6522	78916.6662	10453.4818	12734.4576	5755.7296	13382.7171	21586.729	42538.3554	44629.3951	18441.6634
FERMENTATION-PWY	mixed acid fermentation	0	0	0	0	0	0	0	0	0	0	0	112.536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	14948.5836	47960.8615	13655.3837	58154.9538	51381.4154	13753.676	24542.0308	26147.0769	18229.2923	22326.6462	11147.6569	58855.4548	96720.3692	31149.4154	27470.7692	32142.7683	14142.4951	30659.8154	23383.3846	67936.9846	35279.9701	7212.1846	35149.9309	71713.1077	15379.2	29768.5116	12207.6298	20171.0079	20349.4154	60014.7692	38136.7385	78659.4462	29175.5077	12550.5328	14164.0615	21875.9034	4958.0308	154596.1846	24824.2452	127025.7231	15461.1692	146569.8462	11588.6769	47695.0154	34064.8615	15150.7321	8774.0308	8397.4154	15191.7529	36088.6154	66920.3544	8833.4669	10745.8037	4760.198	11273.5976	18331.1906	36124.675	37900.5529	15660.9201
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	0	0	0	0	0	0	0	0	0	0	0	5.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUCCAT-PWY	fucose degradation	0	0	0	0	0	0	0	0	0	0	0	4.7825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	0	0	0	0	0	0	0	0	0	0	0	5.3998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTARDEG-PWY	D-galactarate degradation I	0	0	0	0	0	0	0	0	0	0	0	4.1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY	D-galacturonate degradation I	0	0	0	0	0	0	0	0	0	0	0	5.9997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLCMANNANAUT-PWY	"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCARDEG-PWY	D-glucarate degradation I	0	0	0	0	0	0	0	0	0	0	0	4.1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	0	0	0	0	0	0	0	0	0	0	0	4.1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUCONEO-PWY	gluconeogenesis I	14774.2585	47234.1818	13448.5454	57273.8182	50602.9091	13594.5166	24170.1818	25750.9091	17953.0909	21988.3636	11017.6185	57982.6108	95254.9091	30677.4545	27054.5455	31655.8182	13959.314	30195.2727	23029.0909	66907.6364	34747.0809	7102.9091	34642.9589	70626.5455	15146.1818	29343.9719	12022.7272	19939.9861	20041.0909	59105.4545	37558.9091	77467.6364	28733.4545	12387.425	13949.4545	21590.6144	4882.9091	152253.8182	24448.1818	125101.0909	15226.9091	144349.0909	11413.0909	46972.3636	33548.7273	14933.0216	8641.0909	8270.1818	14961.6363	35541.8182	65960.9717	8719.899	10612.2691	4696.877	11138.0902	18053.9979	35577.4545	37326.3636	15423.8179
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	13092.486	43298	12327.5	52501	46386	12016.9194	22156	23605	16457	20156	9764.2998	53042.1052	87317	28121	24800	29017.5	12591.1743	27679	21110	61332	31842.4943	6511	31609.9619	64741	13884	26745.4964	11020.5	17526.4365	18371	54180	34429	71012	26339	11177.9094	12787	19490.626	4476	139566	22410.5	114676	13958	132320	10462	43058	30753	13620.7287	7921	7581	13714.5	32580	60150.7729	7858.0245	9519.6546	3981.7387	9937.4846	16546.4988	32612	34215.5	14137.4998
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0	0	0	0	0	0	0	0	0	0	0	7.1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUTORN-PWY	L-ornithine biosynthesis	16941.4588	54122.5	15409.7656	65626.25	57982.5	15593.0922	27695	29506.25	20571.25	25195	12633.6514	66431.2046	109146.25	35151.25	31000	36272.2656	15989.2683	34598.75	26387.5	76665	39813.6684	8138.75	39685.7063	80926.25	17355	33614.0163	13776.0156	22888.8124	22963.75	67725	43036.25	88765	32923.75	14188.6981	15983.75	24729.9831	5595	174457.5	28013.5156	143345	17447.5	165400	13077.5	53822.5	38441.25	17106.4845	9901.25	9476.25	17143.5156	40725	75560.7819	9988.1276	12157.6244	5438.17	12764.103	20686.6399	40765.7812	42769.7656	17673.0468
GLYCOCAT-PWY	glycogen degradation I (bacterial)	3232.5098	0	2.6663	0	0	3165.2425	0	0	0	0	2405.2716	874.7812	0	0	0	2.6665	1555.3162	0	0	0	71.906	0	1151.2526	0	0	1202.594	2.6663	5256.6369	0	0	0	0	0	1347.2981	0	2289.5291	0	0	2.6665	0	0	0	0	0	0	534.2774	0	0	2.6664	0	2465.5291	1023.5118	1553.3564	2025.1994	1997.1456	23.9799	5.3328	2.6665	7.9974
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	2196.9315	0	1.6666	0	0	2163.7333	0	0	0	0	1634.3864	543.7611	0	0	0	1.6666	1012.9841	0	0	0	44.9746	0	728.2269	0	0	762.8626	1.6666	3640.1781	0	0	0	0	0	876.6107	0	1488.1207	0	0	1.6666	0	0	0	0	0	0	338.2725	0	0	1.6666	0	1561.9395	668.1426	1025.4892	1513.5858	1335.7659	14.9946	3.3332	1.6666	4.9993
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	0	0	0	0	0	0	0	0	0	0	0	7.1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	15752.3798	49746.6383	14164.0158	60320.2979	53294.5532	14509.4548	25455.8298	27120.6383	18908.0426	23157.9574	11746.6263	61107.2474	100321.6596	32309.234	28493.617	33339.7605	14782.6698	31801.4043	24254.0426	70466.5532	36598.633	7480.7234	36540.3812	74383.2766	15951.8298	30962.4663	12662.3562	21332.9462	21107.1064	62249.3617	39556.7234	81588.2553	30261.8298	13116.1375	14691.4468	22857.2963	5142.6383	160352.4255	25748.7392	131755.4043	16036.8511	152027.234	12020.1702	49470.8936	35333.234	15752.7937	9100.7234	8710.0851	15757.5903	37432.3404	69587.2439	9237.3006	11260.974	5112.8615	11843.3815	19015.4176	37470.1168	39311.9307	16244.6005
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	14552.786	47566.8169	13543.0214	57677.1549	50959.2676	13368.1609	24340.3944	25932.2535	18079.5211	22143.2113	10853.0807	58315.8004	95925.7183	30893.493	27245.0704	31878.5144	13912.3535	30407.9155	23191.2676	67378.8169	34985.5124	7152.9296	34784.6649	71123.9155	15252.8451	29443.284	12107.1622	19532.7944	20182.2254	59521.6901	37823.4085	78013.1831	28935.8028	12349.0454	14047.6901	21529.5822	4917.2958	153326.0282	24620.12	125982.0845	15334.1408	145365.6338	11493.4648	47303.1549	33784.9859	14990.6521	8701.9437	8328.4225	15066.7679	35792.1127	66205.9228	8685.3306	10538.4492	4486.4721	11021.0847	18179.0499	35827.5358	37588.9932	15531.7401
GLYCOLYSIS-TCA-GLYOX-BYPASS	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	10149.5969	0	17.9791	0	0	9607.3187	0	0	0	0	7561.1362	5527.146	0	0	0	17.9911	6626.3621	0	0	0	480.1655	0	6619.113	0	0	6683.0736	17.9766	14868.2119	0	0	0	0	0	5791.1024	0	9931.519	0	0	17.9885	0	0	0	0	0	0	3037.3013	0	0	17.9812	0	13917.9209	4276.093	5929.9155	4176.496	6943.0934	160.747	35.9684	17.9925	53.8363
GLYOXYLATE-BYPASS	glyoxylate cycle	12749.4865	43298	12327.25	52501	46386	11678.1725	22156	23605	16457	20156	9509.1525	52962.1322	87317	28121	24800	29017.25	12436.203	27679	21110	61332	31835.7457	6511	31500.1005	64741	13884	26630.2537	11020.25	16953.0541	18371	54180	34429	71012	26339	11043.8663	12787	19263.1896	4476	139566	22410.25	114676	13958	132320	10462	43058	30753	13569.6737	7921	7581	13714.25	32580	59914.9656	7755.6969	9361.7509	3734.9681	9730.5199	16544.2491	32611.5	34215.25	14136.7499
