pathway	description	X16S_1_10_S10_L001	X16S_1_11_S11_L001	X16S_1_12_S12_L001	X16S_1_13_S13_L001	X16S_1_14_S14_L001	X16S_1_15_S15_L001	X16S_1_16_S16_L001	X16S_1_17_S17_L001	X16S_1_18_S18_L001	X16S_1_19_S19_L001	X16S_1_1_S1_L001	X16S_1_20_S20_L001	X16S_1_21_S21_L001	X16S_1_22_S22_L001	X16S_1_23_S23_L001	X16S_1_24_S24_L001	X16S_1_25_S25_L001	X16S_1_26_S26_L001	X16S_1_27_S27_L001	X16S_1_28_S28_L001	X16S_1_29_S29_L001	X16S_1_2_S2_L001	X16S_1_30_S30_L001	X16S_1_31_S31_L001	X16S_1_32_S32_L001	X16S_1_33_S33_L001	X16S_1_34_S34_L001	X16S_1_35_S35_L001	X16S_1_36_S36_L001	X16S_1_37_S37_L001	X16S_1_38_S38_L001	X16S_1_39_S39_L001	X16S_1_3_S3_L001	X16S_1_40_S40_L001	X16S_1_41_S41_L001	X16S_1_42_S42_L001	X16S_1_43_S43_L001	X16S_1_44_S44_L001	X16S_1_45_S45_L001	X16S_1_46_S46_L001	X16S_1_47_S47_L001	X16S_1_48_S48_L001	X16S_1_49_S49_L001	X16S_1_4_S4_L001	X16S_1_50_S50_L001	X16S_1_51_S51_L001	X16S_1_52_S52_L001	X16S_1_53_S53_L001	X16S_1_54_S54_L001	X16S_1_55_S55_L001	X16S_1_56_S56_L001	X16S_1_57_S57_L001	X16S_1_58_S58_L001	X16S_1_59_S59_L001	X16S_1_5_S5_L001	X16S_1_6_S6_L001	X16S_1_7_S7_L001	X16S_1_8_S8_L001	X16S_1_9_S9_L001
ARGSYNBSUB-PWY	L-arginine biosynthesis II acetyl cycle	162890.6205	215278.4458	40660.0445	194383.6081	122513.2609	192992.6403	68148.2788	126601.2177	58776.1345	69193.0826	80391.7408	241984.9361	252279.1333	105299.941	103548.136	169278.1672	88267.2145	94971.1702	49858.1835	313680.583	84399.8994	34797.8243	101844.9234	229571.6309	31754.212	336605.646	27896.2516	200140.513	222127.1968	499878.5251	150809.9324	313817.6654	81790.3519	105109.0575	114910.3379	123342.1898	57463.2527	380271.3958	87816.6437	429159.9056	155077.4769	338942.3137	80369.0362	135794.2089	229267.2056	122135.1949	45514.9452	90417.5695	62458.7354	406089.0963	369087.8817	91707.448	63844.6856	58910.7802	88301.7309	58396.3669	120866.8008	93374.5547	91813.6851
ARO-PWY	chorismate biosynthesis I	161787.0264	205088.9063	40035.1704	181924.6836	119067.6118	193387.6892	64654.96	120213.9392	55287.9744	62735.7673	78675.8045	238305.4498	243472.2279	99724.9735	101875.3061	159838.2746	87704.9311	89536.4931	46305.8377	298010.9431	78178.1749	32062.264	100737.9702	212539.1849	29607.8693	335078.6742	24363.2694	196775.3334	200751.5331	475470.0384	141837.5794	303396.2705	79110.5756	103772.1157	111497.1651	119390.9072	53270.5298	352205.2699	81625.2775	408322.9939	154384.6741	317250.5354	72444.4187	125708.6954	219148.5322	122667.0929	43043.5385	82968.9115	57679.0326	411413.6604	361995.1927	91161.4627	64246.1182	60093.022	87124.3212	56931.5835	119436.4719	88120.1115	89589.1616
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	31352.6482	38838.7919	4496.7252	39894.7311	22819.5329	48173.0971	10420.4404	22888.7701	11618.7701	10824.813	14713.5383	40379.948	32639.8843	17139.196	22565.917	33499.1412	17899.9889	17671.9402	10913.9404	120745.9104	27096.9894	29329.3714	28218.1701	40080.0248	29517.3251	98709.333	9014.2051	48886.3206	43734.9981	88611.3839	72431.9541	75005.9321	15344.9563	19817.8023	64486.6475	36429.8328	45153.8659	72913.8681	71016.9604	67190.4497	51361.2674	236421.8906	71320.5933	24451.486	68008.0069	28942.7896	10220.851	39873.0908	47515.8984	250144.4492	59919.5839	10125.8321	18616.3063	12621.2686	15823.0694	13952.8988	22427.3664	19903.201	18173.6621
AST-PWY	L-arginine degradation II AST pathway	6255.1311	292.3956	0	529.3452	270.4377	5437.284	158.0711	360.438	73.2645	212.9779	2490.2674	5358.163	675.3054	745.0445	248.5855	884.2008	1212.0265	1196.6671	773.1864	20195.3357	3492.4432	4337.7262	2206.1573	1134.7234	4267.3638	9992.142	810.7121	7410.8915	69982.6138	3792.5673	11684.107	4264.6549	104.2065	2738.5104	8763.1792	4066.237	6736.8781	1702.0303	8895.1818	2612.2537	7212.7901	43350.4523	10882.7745	620.5569	10938.4435	3824.5509	1482.0165	2464.4788	12172.873	45986.8024	11162.4543	2350.9037	10556.3982	2033.5664	3505.3879	17.2879	281.179	109.6012	371.8896
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	74073.509	36139.6493	5674.7518	32920.2294	36996.9253	57837.9015	8843.1031	20186.1726	18057.2989	7133.0598	31210.8238	78137.8328	88419.4154	24229.1121	39310.2106	37422.1685	24751.3898	19467.9871	10350.0104	106327.8649	20791.2308	10126.254	37950.9499	37486.8968	8928.0826	104746.7937	8914.6164	82405.6265	87567.8145	152075.7938	44363.8834	104707.353	18887.6707	54561.4205	33687.9345	40074.0631	19161.2341	65757.1765	23699.5411	120415.1075	63278.2837	118558.5171	21887.4808	25309.8328	81672.9475	49390.5073	12596.621	16274.4278	24945.8531	177386.8186	152387.2444	46114.447	35154.3668	23187.874	41421.6609	14444.5501	49057.5261	17359.8191	30725.4799
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	221554.3808	276201.1134	57240.3328	256516.3202	158990.1483	268171.445	86721.446	170256.7024	74256.2881	87177.9638	109013.5006	329903.2371	327810.0076	134650.5681	134893.8249	219607.344	121643.7921	122772.7814	64085.4528	422252.1672	110922.521	45657.0166	132819.0056	289794.9698	41116.9515	456262.385	31107.2042	270594.2035	275895.4076	636363.8381	198122.1458	400563.111	105145.4337	138665.0193	150357.7663	157659.0923	75617.6764	482382.3254	113787.6354	549277.2682	208133.9841	448967.8531	104539.8774	171387.5124	310829.192	166246.2632	58610.4551	112921.9946	83457.0546	524729.3378	507898.8714	132893.443	91118.5783	88012.0098	118328.9444	74190.2573	163637.0416	122516.8789	118839.1873
CALVIN-PWY	Calvin-Benson-Bassham cycle	163955.3502	226672.561	47674.3859	214689.1918	130229.9711	197154.9757	72420.5842	135365.9361	60253.0862	73386.8464	79781.1739	242055.4159	267420.6	109657.0706	112549.0113	180049.9652	87512.3087	101367.7629	51580.6984	319690.8363	84502.7505	29120.1486	100525.3042	237431.6837	24477.5961	347853.7742	39378.8273	202304.211	218647.3438	513002.0343	151460.2562	319789.9026	88204.5772	106500.9958	114612.2059	118395.8277	52026.2523	395657.507	81332.7528	443598.2037	158717.1452	327054.1827	67244.1017	140259.9142	230780.6414	121041.4539	45598.4618	88905.6122	55415.1741	449783.2613	373379.7579	94820.1458	67463.3725	63471.0065	87469.9894	60892.7122	128626.684	102254.939	97724.1031
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to and beta-ketoadipate	11428.927	3301.4446	393.208	2368.8684	1349.0659	10166.7128	510.828	1372.833	332.1282	551.1527	4141.7018	8765.5846	2339.6064	1114.4759	1281.6381	2839.646	4347.6526	955.9636	1483.5541	21379.0714	4216.4779	3693.9587	5145.0345	3887.028	3207.9712	24654.5903	979.5188	14927.3372	6116.5799	7514.2416	8777.9082	8022.1468	570.2216	9625.3447	10593.7153	5078.3968	8618.9861	6210.2455	9148.4065	8851.8954	12700.2219	39628.304	10768.8443	2187.4387	16545.2631	6960.1183	1602.8846	2924.2504	12082.375	45875.909	22131.8078	5416.3425	6590.5393	7500.0312	3523.3534	386.7754	852.6625	889.3813	1133.7096
CENTBENZCOA-PWY	benzoyl-CoA degradation II anaerobic	537.0372	20.2363	0	5.0648	4.7979	32.2338	0	0	0.2667	8.497	0	11.189	13.5656	12.2398	0	31.423	0	0	0	0	0	42.7325	36.3405	10.9207	0	51.9562	5.5812	21.054	0	18.6626	0	0	0	0	0	46.45	0	19.995	0	34.6089	43.6039	0	0	0.2667	0	16.9955	0	0	0	1.0667	13.239	0	6.6516	0	11.6242	0	0	0	3.4654
CENTFERM-PWY	pyruvate fermentation to butanoate	2954.9671	4072.9401	358.2123	4509.0135	3099.5174	805.1773	582.5398	2185.6335	1316.7661	552.8864	1255.9021	3752.8011	1622.8492	1602.5368	4057.9904	6656.7661	1348.5096	500.4515	1199.9728	11573.4389	1498.046	273.5187	1724.2048	2665.3482	662.4054	17526.5369	435.7855	9664.9968	4841.4013	23502.2077	10548.9523	8443.6718	1403.3525	3092.2694	4719.7901	979.6903	4776.1064	21890.0276	7553.8011	6124.2563	4037.1991	31943.7783	6904.7647	6951.3325	7318.6334	1083.3602	1162.5294	3962.6417	3875.6766	40523.344	612.5928	1638.1798	837.1839	2671.8129	327.8779	1207.3083	4265.6119	1422.1582	2748.0345
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I aerobic  light-dependent	5292.6011	17.4948	1.1665	162.0604	100.1083	24650.983	266.1937	52.2387	3.4934	0	274.3852	738.195	253.5134	62.8715	0	168.3581	449.5451	89.1236	74.3153	58.6542	1.1666	687.7403	286.3036	335.9186	0	13451.2684	131.87	1509.7352	711.4628	148.3221	2.3333	2470.5073	0	85.142	5207.4806	5715.5294	871.8494	343.3183	1931.2713	4022.4455	4175.374	3531.1433	0	110.5998	552.3778	4353.1909	699.9899	0	686.5629	87162.199	29837.3172	668.2976	986.4723	8114.2211	587.9114	0	46.56	19.818	0
COA-PWY	coenzyme A biosynthesis I	152904.9561	203776.7868	42093.852	188570.2366	117470.6285	181380.7162	64856.1869	120336.3929	53958.7635	62349.9075	74382.3175	224540.0558	241561.2966	99244.9343	102083.3742	161598.2858	82469.9894	89945.3593	45909.8973	292987.4831	77932.4905	30661.9869	95763.4616	210074.7448	28163.4129	313305.9255	37416.9895	185027.4326	202097.1428	469634.1265	141988.6207	295756.2193	77910.4816	96817.4909	106892.9969	114034.33	51861.0068	349781.8011	79561.8248	399875.1774	144516.4947	306402.4676	69071.7436	121471.016	212264.0403	112580.0738	41591.506	82379.8441	54226.3748	397192.3549	338743.5742	87584.8732	61026.1936	57185.7935	83975.3716	56311.4835	118772.0544	90081.6777	88568.2297
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	75837.968	57548.6348	10547.603	48577.4977	42162.251	103272.5473	18018.6622	30500.5303	19749.4722	14517.854	33707.7365	125652.8175	73827.8807	26061.8997	31560.4029	47138.2861	47850.0709	25474.6736	13559.6853	99349.483	23599.0689	8630.9891	46234.8223	57565.8744	6300.8012	167516.9328	7003.5381	83477.5387	66793.4699	143303.1148	43530.2925	97763.0885	23866.8836	41844.5223	37746.5122	59350.5298	15081.0705	105258.6885	22713.1671	126941.5283	70899.8519	108195.3035	21633.1847	38346.9753	86217.399	64322.0737	16155.739	21793.6061	19042.3174	195629.4144	167405.5852	38877.9566	27185.4537	34195.0777	41148.882	18538.2233	36563.4771	23871.0405	29934.3907
CODH-PWY	reductive acetyl coenzyme A pathway	20546.8784	27820.1105	3369.7706	31875.7744	22267.1055	31615.1826	12092.1763	19362.8524	7586.38	11780.2617	6866.8002	44855.94	51781.8784	16819.4532	15524.9597	30277.8849	16732.376	15651.0161	7750.4591	47184.7055	10089.6531	1630.1404	12040.1198	32554.1552	2.9998	43348.1694	3048.7569	14580.0251	20240.9595	82282.3883	16151.5905	46451.5088	13149.8377	7802.0363	15007.2565	15529.8471	412.2456	64441.7918	5875.7675	84312.8439	13216.049	19716.4195	10.9988	20390.72	27186.6442	14705.9839	5454.9341	7636.7676	2006.9217	48637.6366	37942.6717	6563.9438	3129.4787	5153.0426	8632.1958	8404.4964	20821.9791	15836.738	14040.4508
COLANSYN-PWY	colanic acid building blocks biosynthesis	92099.8606	102915.5955	12963.8904	100847.7352	72258.8771	117273.8768	39556.43	81534.7912	37504.4893	38563.3401	52948.846	126880.8105	149306.596	62936.7578	58437.9839	96831.5806	43933.7419	56573.2102	29444.6937	174419.2616	50298.0909	8961.5588	60529.7632	132778.2536	6057.741	189101.4955	15164.1322	125724.4955	172623.6541	316336.9463	84978.7152	190868.7193	40646.5401	57319.7728	57092.0078	72077.2325	20075.7649	225602.208	27852.4645	257568.4908	94354.3865	135744.4048	20928.9389	70480.619	134758.231	74687.6505	27736.5951	52109.1737	22621.8744	258981.9637	243352.5927	63851.1328	45885.0718	39542.3062	54132.5267	30830.3895	71303.8446	48985.0848	48343.5333
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	171502.6322	218520.2105	42910.7265	193358.6748	126843.1461	205204.8167	68886.8065	128041.2195	58946.6348	66877.5819	83700.883	252334.3393	258906.2843	106122.0172	108434.286	169954.062	92950.081	95387.4827	49217.9755	315024.2874	82778.5189	32939.155	106917.745	226277.2004	30162.8565	354753.3502	25672.5977	209093.8793	213860.3384	505701.2006	149590.7335	321887.3735	84305.6618	110063.8758	117007.768	126815.0491	55186.1155	374490.5116	84404.1739	434274.8186	163515.3557	331879.3476	74530.9731	133770.9849	231537.7164	130142.2387	45640.3504	87464.4541	59683.5689	432429.7304	383602.5724	96707.1289	68229.6065	63550.7907	92546.2741	60518.5189	126985.3808	93887.8027	95372.7203
CRNFORCAT-PWY	creatinine degradation I	7720.3224	525.3431	2.9996	1930.124	59.9454	9885.7614	222.6825	386.7423	369.8611	134.1283	3761.7178	3819.099	4798.6851	754.4626	1722.1412	1209.3924	2606.1283	1754.7286	166.8245	12627.5281	460.3077	1493.5871	6419.029	750.2204	2712.7545	30682.1942	304.7138	13883.0905	925.5532	5194.1811	8.9991	2568.6619	68.8906	3209.9688	1218.4325	3243.7481	3692.3176	2273.814	2357.3336	3359.9443	19119.044	14060.6514	1823.5005	856.3038	20671.3131	7160.9468	1150.9222	2363.1537	845.0564	51635.9431	10431.5111	6949.5616	9755.7656	10530.8669	5783.7484	77.7981	5683.6288	1051.8877	707.4814
DAPLYSINESYN-PWY	L-lysine biosynthesis I	145823.6204	143688.8573	29569.6135	139659.9979	83190.4788	167701.5877	43372.4734	90697.7167	41675.0361	49589.5591	68310.1216	215650.5132	164465.401	70656.5503	75098.093	120756.9837	78428.0972	64017.0094	35342.5194	268665.0593	68374.6708	35635.7527	85723.2452	169669.1954	33525.9271	293507.4298	32276.7768	174686.9518	200013.6435	344753.5609	132356.612	235193.1853	60491.3129	95946.6693	106860.1347	104126.4486	59347.3461	262609.977	89817.3451	298182.0328	139989.2515	334422.6975	83621.9766	105195.1651	204160.1782	110013.9764	35066.2053	74160.0316	64274.5442	374393.4804	328446.7214	84468.5617	63909.8969	56039.5386	78135.6555	41510.8335	87601.4545	64981.9637	65872.59
DENITRIFICATION-PWY	nitrate reduction I denitrification	10124.4486	770.6877	87.4275	1962.956	1246.5649	6471.6815	500.0308	876.5966	332.0182	270.1603	2884.8284	5398.7954	2003.0383	829.7618	3359.3197	1643.2225	1689.464	767.8557	160.5331	5472.5851	711.3544	196.9934	4086.1553	2336.5371	299.5833	16045.8646	1399.5519	7954.5537	1977.4991	3164.8673	6583.741	5212.9364	597.4197	5418.4355	1476.7352	5011.1391	2232.9609	2625.3729	1450.5435	6182.6806	6724.6927	7187.0437	5134.2453	1627.5091	10161.4379	6796.4755	1057.4362	1238.2524	1498.8698	19144.8535	15736.939	5917.2476	5054.782	5364.1516	4891.7357	342.2881	1036.0743	666.0997	994.6039
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	53554.8222	152527.3579	34941.074	169439.8217	87825.0488	42351.5889	49757.5039	95711.8954	38356.1554	54049.924	26639.5179	57555.7394	175184.8971	75286.2697	80911.7439	136329.6856	22405.1346	71957.2879	38870.8211	292856.2617	76852.7431	36368.5353	23163.6258	181136.7668	33566.7427	183513.4197	33904.158	41871.1312	164613.1705	356371.65	146214.075	238974.4947	62633.9577	42084.9475	116214.4727	20821.6213	60577.2452	279497.9858	93383.0958	284503.7033	80978.3	351389.0691	83944.6604	100302.9416	198879.5501	37759.2039	35267.0617	87234.8838	63494.2797	391955.666	68233.683	27557.8039	15177.0204	18232.0387	15794.4833	38748.993	84141.1036	76996.5144	64727.3087
DHGLUCONATE-PYR-CAT-PWY	glucose degradation oxidative	2608.6143	438.2657	0	758.4139	345.8114	97.0779	63.1542	254.332	0	326.8406	542.7511	0	859.7778	713.4509	290.053	1172.4241	355.2888	991.2956	1115.3287	20260.3726	4106.9462	3980.9594	77.1663	1704.1883	3939.8788	383.4071	873.224	619.5175	4691.7134	5723.878	9860.7076	5239.9636	143.1839	201.0863	9143.18	155.2892	7202.6437	2343.4826	8947.6925	3486.885	1851.1116	37124.7926	10591.6056	1156.8258	12571.0534	119.5323	1404.5087	2760.6811	11884.0631	35240.9337	3140.4755	928.6819	856.6478	956.4931	2352.9602	2.4987	470.8867	171.3251	571.7245
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	155018.8172	177472.9996	29059.3399	154008.4619	102688.5943	190670.4814	56243.7606	112544.959	51187.968	53655.9521	76982.5936	232434.4137	213166.3021	88003.8382	89445.187	138498.8645	86224.3472	77900.11	41704.1362	271105.4445	72382.0275	31217.2552	93457.2187	198379.1926	28391.4539	315238.3498	21304.8416	193766.457	210720.1242	438274.0566	136212.2149	271434.0743	69869.4807	99942.8142	106109.0906	114311.8562	52955.6228	313275.8644	80888.8471	367570.7866	145434.7276	306665.7301	76004.9601	115054.7495	206419.3408	117612.8087	39873.0551	77056.5655	55744.5952	417844.3353	368970.1043	90816.7459	64136.0606	57502.4663	82986.5164	50696.5935	108536.1514	75155.4069	77611.1323
ECASYN-PWY	enterobacterial common antigen biosynthesis	146.0202	0	0	71.196	77.8747	243.7522	0	0.2447	74.2751	4.3533	0	0	0	10.4483	1.1355	19.1958	140.8785	143.0219	100.7447	822.5401	152.1842	324.7609	580.0334	66.6096	43.3451	253.1202	45.5345	160.6535	43.0493	728.469	355.3432	156.4479	46.3595	86.6207	840.9182	0.25	304.0432	180.3792	2094.3747	53.6963	102.1713	2298.9764	526.7697	0.8205	746.3012	129.8447	93.8444	3.3718	212.6332	1805.1877	268.7765	0	14.8158	6.2396	27.2606	25.3358	14.2755	42.3609	38.0365
ENTBACSYN-PWY	enterobactin biosynthesis	31126.6542	36181.9666	6253.2259	28943.0395	18263.235	29060.8403	4236.145	8890.7818	9622.1955	8050.5841	12781.5508	77809.1204	15460.1582	9238.6628	6040.1856	15837.2959	22030.5426	6550.6863	2859.1195	12020.6006	3535.003	935.1522	25858.267	20090.2085	130.9657	71847.8809	1996.1551	32256.8025	5917.9596	61054.4281	12323.1843	36952.3666	15795.3986	16076.5556	12459.964	38850.8012	1873.742	30840.4638	10906.1319	40927.9776	38046.1997	40950.4187	1623.9338	16724.8881	17941.7708	28277.5741	3654.086	6869.7958	561.8992	35121.8441	56989.2263	16700.3662	10587.8303	5436.1048	18090.3832	15131.109	22429.2597	14491.9182	14124.8906
