contamination	not_contaminated	contaminated	contaminated	contaminated	contaminated	not_contaminated	contaminated	contaminated	not_contaminated	contaminated	contaminated	contaminated	not_contaminated	not_contaminated	not_contaminated	not_contaminated
Bacteria	0.085809236	0.021153308	0.037481833	0.025888859	0.049121078	0.045831152	0.037461017	0.032635753	0.028115416	0.028724882	0.034980944	0.024831939	0.015040416	0.017298245	0.008501541	0.019061711
Betaproteobacteria	0.060163118	0.025528507	0.016637344	0.015320143	0.009364219	0.036755269	0.046009169	0.010321045	0.046456467	0.031324357	0.030255057	0.010195157	0.034373067	0.02388311	0.014517252	0.008338411
Blastococcus	0.007970554	0.00931032	0.021549322	0.01930535	0.020218733	0.003151918	0.0066973	0.01054734	0.004517928	0.013444373	0.008748168	0.027001303	0.001046672	0.00634269	0.002469259	0.023953347
Bradyrhizobium	0.001707976	0.004863503	0.000754008	0.000659207	0.002675491	0.002402439	0.006258659	0.010724441	0.000356221	0.003349059	0.002157725	0.003189738	0.010334789	0.008822105	0.008832985	0.002698233
Brevitalea	0.053238534	0.008320692	0	0.001267047	0.001255603	0.000944549	0.034615199	0.023456025	0.000330156	0.000391984	0.024532395	0.003206887	0.005541206	0.003874807	0.006181433	1.7408E-05
Brevundimonas	0.001138651	0.00684927	0.003655298	0.001750751	0.001595907	0.00081108	0.002631846	0.002902486	0.002997472	0.003761674	0.003447669	0.002237961	0.003570999	0.003321263	0.003463591	0.001148925
Burkholderiaceae	0.001204851	0.001712318	0.003371179	0.002465606	0.007052501	0.003593392	0.000839837	0.000865826	0.001928808	0.00274389	0.005605394	0.004493072	0.002682647	0.003598035	0.000762321	0.006266864
Caldilineales	0.009612329	0.01268938	0.016467966	0.009023432	0.013506536	0.011847928	0.005151358	0.005490127	0.011251379	0.002998336	0.016452653	0.009037591	0.000357686	0.001775953	0	0.002001915
Cand Kuenenia	0.000225082	3.90643E-05	0.000147523	0	1.17346E-05	0.000297738	0.000780995	0.001426646	0.000251961	0.001340999	0.000973322	0.001260461	0.00226046	0.000876444	1.65722E-05	0.000191488
Cand Nitrosotalea	0	0	0	4.28057E-06	1.17346E-05	1.02668E-05	0	0	0	6.87692E-06	0.000164175	0	0	0	1.65722E-05	0
Cand_Methylomirabilis	0	0	1.09276E-05	0	0	0	5.34928E-06	0.028660822	0	0.000336969	0	0.003206887	0	0	0	1.7408E-05
Carboxydocella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carboxydothermus	0	0	5.46382E-06	0	0	0	0	1.96779E-05	0	0.000226938	0	0.000866031	2.34548E-05	0.000276772	0	0
Cellulomonas	0.004250079	0.001250057	0.005135995	0.002136002	0.00256988	0.002145769	0.00282977	0.001151156	0.001928808	0.0085205	0.002345353	0.007254081	0.001073059	0.002721591	0.001607504	0.001688572
Chelativorans	0.012803199	0.004889546	0.005873611	0.003287474	0.003285691	0.003162185	0.004578985	0.002331828	0.002024379	0.003864827	0.005065963	0.001843531	0.008217989	0.00634269	0.009114713	0.005918705
Chloroflexi	0.016828196	0.051304421	0.072931123	0.082499337	0.07417447	0.034116693	0.017738217	0.011875596	0.04535305	0.026483007	0.0258927	0.036690561	0.016435979	0.012754573	0.008252958	0.017982418
Chromatiales	0	0.006920888	0.000453497	0	0.000187754	0.000544142	0	0.021655499	0.002015691	0.000845861	0.003541483	0.002538071	0.002031775	0	0	0
Clostridia	1.32401E-05	0	0	8.56113E-06	0	0	5.34928E-06	0.019648356	0.001042599	0.000949015	0.00036353	2.57237E-05	0	0	0	0
Clostridiales	9.26809E-05	0.000110682	5.46382E-06	0.000214028	0.002828041	0.001806963	0.003236315	0.000610014	0.000495234	0.004002366	0	0.001946426	5.27734E-05	0.00538552	0.000480594	0.001375228
Clostridium	0.000291283	0	0	0.00204183	0	1.02668E-05	8.02392E-05	0	0.00020852	0	0	7.71711E-05	5.27734E-05	0.000126854	0	0
Cnuella	0.00542845	0.002168068	0.007119363	0.001609493	0.001466826	0.001611893	0.011998438	0.000895343	0.007836868	0.014173326	0.008654354	0.006070792	0.020566962	0.023894642	0.025239468	0.000905214
Comamonadaceae	0.004726724	0.003398592	0.004906514	0.001802118	0.002440799	0.007043049	0.010725309	0.002469573	0.006907217	0.00796347	0.00551158	0.006722458	0.004221871	0.010897894	0.008899274	0.00391679
Conexibacter	0.029498994	0.010898934	0.002065325	0.005110995	0.008049943	0.001519492	0.010484591	0.020838868	0.00311042	0.002571967	0.003740838	0.008231582	0.015861335	0.007161473	0.003413874	0.006023153
Corynebacterium	1.32401E-05	0	0	0.000166942	0	0	0	0	8.68832E-06	0.002021814	0	1.71491E-05	0	0	0	0
Coxiellaceae	0.000119161	6.51071E-05	0.000448034	0.001331256	0	0.00039014	0.000235368	9.83894E-06	0.000243273	0	0.011703313	8.57456E-06	8.50238E-05	0.000311368	0	0.003481591
Curtobacterium	0	0.003242335	0.002343981	0.002298664	0	0	0.001299875	0.007231618	0	0.002310644	0.000574612	0.001191864	0.003356974	0.00437069	0.006860893	0.002123771
Dankookia	0.003323271	0.00337255	0.004584148	0.006955919	0.004729048	0.00042094	0.005450918	0.005834489	0.000651624	0.005900395	0.003869833	0.0172263	0.000750555	0.003205941	0.00195552	0.004351989
Dehalogenimonas	0.000397204	0	1.09276E-05	4.28057E-06	0.0003051	8.21347E-05	0.00014978	0	0.000182455	0	0	0	0	0	0	0.001235965
Deltaproteobacteria	0.007824913	0.006803695	0.003272831	0.005316462	0.005292309	0.00243324	0.007237578	0.008333579	0.002067821	0.006526194	0.012371738	0.006207985	0.005564661	0.005512374	0.002518975	0.003777526
Enterobacterales	0.002052219	0.001302143	5.46382E-06	0.001883449	0.001783661	0.007895196	0.004381061	0	0.007237374	0.003438458	0.000422164	0.000720263	0	1.15322E-05	0	0
Escherichia	0	0.001152396	0.001655539	0	0.002217841	0.007730927	0.001048459	0.0011118	0	0.000852738	0	0.001397654	0.001029081	0	0.0002983	0
Finegoldia	0	0	0	0	0	0	0	0	0	0	0	8.57456E-06	0	0	0	0
Firmicutes	0.00321735	0.004694224	0.006447312	0.005384951	0.003403037	0.001498958	0.00528509	0.002971359	0.004031382	0.003266536	0.005652301	0.004655988	0.036894462	0.010321286	0.006943754	0
Gaiella	0.006778943	0.016263762	0.012140617	0.004648694	0.009704523	0.013121015	0.007670869	0.00027549	0.014857034	0.010948052	0.006719437	0.004501646	0.016916803	0.007126877	0.005468828	0.002280442
Gammaproteobacteria	0.043215761	0.020612919	0.009714679	0.011163715	0.0079678	0.0121662	0.03029298	0.08947529	0.013180187	0.026152915	0.041970097	0.044982165	0.015764584	0.052552068	0.030575718	0.034293672
Geminicoccaceae	0.004448681	5.85964E-05	0.000841429	0.000809027	0.000352038	0	0.005627444	0.002932003	0	0.001389137	0.000703606	0.002906777	0.004198416	0.008626058	0.008368964	0.019740621
Gemmata	0.00215814	0.000423196	0.001792134	0.001605212	0.000727546	0.00120122	0.002995598	0.002056338	0.001746353	0.003314674	0.002134271	0.001037522	0.001430745	0.00239869	0.000182294	0.001653756
Gemmatimonas	0.023911662	0.028575521	0.01358853	0.019159811	0.041892558	0.047319843	0.022943068	0.022846011	0.077239198	0.027500791	0.031814717	0.035198587	0.019702065	0.009444842	0.011782838	0.003307512
Geobacter	0.003720475	0.026381411	0.001174722	0.00128845	1.17346E-05	0.002597509	0.001578038	0.002321989	0.000295403	0.001691722	0.00591029	0.000540198	5.86371E-06	2.30643E-05	0.000314872	0.000400383
Haliangium	0.000767927	0.001243546	0.000573702	0.000158381	0.000410711	0.003552325	0.002856516	0.00064937	0.001112105	0.005907272	2.34535E-05	0.001843531	0.00129588	0.000864912	0	0
Halomonas	0	0	0	0	0	0	0	9.83894E-06	0.000547364	0.004504381	1.17268E-05	0.000257237	0	0	0	0.007137262
Holophaga	0.01512022	0.004726778	0.004354668	0.000860394	0.008460654	0.022874508	0.011008821	0.004309454	0.014552942	0.008871223	0.007024333	0.006533818	0.003829002	0.010402011	0.006231149	0
Hydrogenophilus	0.001575575	0.000553411	0	0	0	0	0.001166143	9.83894E-06	0	0.000529523	0.000375257	0	0	0	0	0
Hymenobacter	0.007838153	0.003691574	0.006835244	0.004657255	0.001396419	0.014886911	0.013972323	0.001151156	0.004848085	0.016697154	0.008384638	0.004990396	0.000988035	0.002006596	0.003927613	0.002924537
Iamia	0.007162906	0.023744572	0.026149862	0.022661313	0.037140041	0.017166148	0.006167721	0.005588516	0.014466059	0.004786334	0.027991791	0.016385993	0.001008558	0.002018129	0.001624076	0.002907129
Ktedonobacterales	0	0	0	0.001044458	0	0	0	0	0	0	0	0	0	0	0	0
Longimicrobium	0.026255164	0.0029168	0.021128607	0.015893739	0.002065291	0.012956746	0.04882824	0.001780848	0.049193289	0.014214587	0.008736441	0.005659213	0.000592235	0.001891275	0.001839515	0.016990165
Luteitalea	0.06572397	0.03751473	0.028149621	0.046118811	0.030333967	0.065184136	0.067497232	0.036433582	0.097387421	0.056693303	0.059419525	0.050821443	0.078547325	0.075604862	0.038513805	0.016276438
Lysobacter	0	0.017357562	0.006665865	0.002213052	0.00195968	0.01404503	0.006750793	0.014374686	0.011181873	0.00586601	0.014810906	0.007031143	0.012167198	0.010298222	0.031420901	0.012098529
Methanomassiliicoccus	2.64802E-05	0	0	0	1.17346E-05	0.0020431	6.95407E-05	0	0.000338845	0.001045291	1.17268E-05	0	2.93185E-06	1.15322E-05	0	0
Microcoleus	0	0	0.054457934	8.56113E-06	0	0	0	0	0.019409715	0.004800088	8.20874E-05	0.014628207	0.035569264	0.000322901	0.000331444	0.014692314
Microcystis	0.00651414	0.006341435	0.012085979	0.019853262	0.007169847	0.007505056	0.004905291	0.00305007	0.00585593	0.009359484	0.007423043	0.014285224	0.001143423	0.001418456	0.001060621	0.002506746
Micropepsaceae	0.000291283	0.000807328	9.2885E-05	5.99279E-05	0	0.000708412	1.06986E-05	0.000403396	0.001025222	0	0	0	0.000495483	0	0	0
Microvirga	0.017357801	0.004629117	0.012167936	0.006908833	0.008871365	0.006375705	0.013116438	0.010891703	0.0058038	0.010872406	0.003811199	0.015528536	0.002477417	0.003113684	0.004955089	0.002489338
Mucilaginibacter	0.00109893	0.004772353	0.000879676	0.000248273	0.000645404	0.001129352	0.002316239	0.000482108	0.001650782	0.001519799	0.002157725	0.000968926	0.000847306	0.002271836	0.004921945	0.001340413
Mycobacteriaceae	0.001019489	0.021166329	0.005633203	0.006074122	0.007146378	0.001221753	0.003953119	0.072099727	0	0.001141568	0.026924656	0.018006585	0.002832172	0.003367392	0.005733983	0.001688572
Myxococcales	0.004197119	0.001712318	0.001540798	0.000894638	1.17346E-05	0.003182719	0.00513531	0.004211065	0.005482332	0.007688393	0.001712108	0.005041844	0.007658005	0.01199345	0.003877896	0.003777526
Neisseria	0	0	3.82468E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosomonadales	0.000781167	0	1.09276E-05	0.000744818	2.34692E-05	1.02668E-05	0	0	0	6.87692E-06	1.17268E-05	0	0.000782805	0	0.000414305	0
Nitrososphaera	0.018695053	0.003522296	0.008463463	0.015097554	0.014245817	0.005420889	0.004798305	0.007369364	0.002719445	0.012110251	0.001512753	0.008042941	0.003274882	0.014807298	0.014069802	0.024910784
Nitrospira	0.004077958	0.001171928	0.001158331	0.002919346	0.0009153	0.004825412	0.002589052	0.002381023	0.002432731	0.003514105	0.00159484	0.002692413	0.00170634	0.000807251	0.001922376	0.003098616
Nocardioidaceae	0.00325707	0.01313862	0.01603086	0.039008792	0.031214063	0.015420786	0.007317817	0.009799581	0.01244168	0.019358521	0.014306655	0.025037728	0.039456903	0.02414835	0.023532531	0.052293498
Nordella	0.02045599	0.005827088	0.008173881	0.004117904	0.001901007	0.003932198	0.01421839	0.008520519	0.002250276	0.006519317	0.006414541	0.004304431	0.019681542	0.016606315	0.006148288	0.01183741
Nostocoida	0.013068001	0.005755471	0.011998558	0.01264479	0.006594851	0.011334586	0.010158285	0.005352382	0.00891422	0.009153176	0.008408091	0.010992592	0.008100715	0.011878128	0.006181433	0.008025067
Ohtaekwangia	0.001363733	0.006901356	0.009392313	0.03088856	0.011394306	0.0264063	0.002872564	6.88726E-05	0.016994361	0.012247789	0.006895339	0.002726711	0.000897148	0.003263602	0.002866991	0.003551223
Ornithinicoccus	0.000450164	0.000664093	0.000218553	0.000740538	0.001666315	0.000626277	0.000641914	0.000718242	0.000278026	0.001719229	0.001372032	0.005359103	0.004591285	0.007253731	0.005800272	0.053529463
Oxalobacteraceae	0.004607563	0.012181545	0.010250134	0.010872636	0.002898449	0.002689911	0.01093928	0.005076891	0.011190561	0.019888044	0.004549985	0.005556318	0.004855152	0.001614503	0.093533526	0.011959265
Paenibacillus	0.000251562	0.001621168	0.001065446	0.000993091	0.002088761	0.002505108	0.003642861	0.001957948	0.000434416	0.002537582	0.000598065	0.00118329	0.000557052	0.000288304	0	0.001462268
Pedomicrobium	0.007414469	0.003672042	0.003933953	0.004819917	0.001478561	0.003726861	0.006595664	0.002843453	0.001642093	0.005377749	0.008208736	0.003138291	0.013958561	0.021495952	0.006927182	0.011158499
Phycisphaerales	0	0	0	0	0	0	0.000235368	0.001357773	0	0	0.00072706	0.000574496	0.000129002	0.000126854	0	0
Planctomycetaceae	0.005600572	0.008281627	0.019582345	0.007606565	0.011863691	0.021036745	0.010259922	0.005568838	0.011538094	0.013712572	0.017003811	0.011395596	0.007959986	0.019892982	0.010208478	0.009556968
Planctomycetia	0.003972037	0.002330835	0.004453017	0.002302944	0.001326011	0.004075934	0.004102899	0.00157423	0.002198146	0.001444153	0.00279097	0.002632391	0.000867829	2.30643E-05	0.001458354	0.002854905
Polyangiaceae	0	0.000227875	0.000912459	0.000124136	0.001126523	0.00022587	0.001155445	0.001151156	0.000130325	0.002331275	0.000644972	0.000162917	0.003658955	0.012293286	0.003496735	0
Povalibacter	0.000926809	0.004147324	0.002021615	0.003099129	0.000962238	0.006796645	0.005413473	0.010153783	0.000616871	0.007867193	0.009580768	0.004741734	0.001876387	0.011220795	0.007971231	0.004961267
Proteobacteria	0.005627052	0.00447286	0.000721225	0.00568031	0.006066793	0.0264371	0.006001894	0.015476647	0.015074242	0.008713054	0.000856054	0.007905748	0.009672189	0.011878128	0.003032714	0.00297676
Pseudomonas	0.002952547	0.00729851	0.000213089	0	0.001701518	0.000318272	0.00133732	0.000787115	0	0.000804599	0.013098798	0.000154342	0.003831934	0.004439883	0.005916277	1.7408E-05
Rhizobium	0.00109893	0.014401698	0.000344221	0.000898919	1.17346E-05	0.001098551	0.0026051	0.000108228	0	0.002345029	0	8.57456E-06	0.001084786	0.000553544	0.002701269	0.010375141
Rhodanobacteraceae	0.01402129	0.000891968	0.001611828	7.70502E-05	0	0.001098551	0.002166459	0.002725385	0.000686378	0.000790845	0.001031955	0.000806009	0.001545088	0.002168047	0.001160054	0.000226303
Rhodospirillaceae	0.006342019	0.024636539	0.020707893	0.039090123	0.014715201	0.008583074	0.017887997	0.022009701	0.009739611	0.030175912	0.010448549	0.054705721	0.005198179	0.01892428	0.030857446	0.009696231
Rhodospirillales	0.015729266	0.027709596	0.005758871	0.011617454	0.004212725	0.013172349	0.023349613	0.014118874	0.004604812	0.01630517	0.025904427	0.006242283	0.002893741	0.008383883	0.004839084	0.001427452
Rubellimicrobium	0.004594323	0.000755243	0.006922665	0.001600931	0.001689784	0.000924015	0.002294842	0.001229867	0.005951502	0.013162419	0.008583993	0.012012965	0.006177418	0.020400397	0.017549965	0.05840369
Rubrobacter	0.0085796	0.001119843	0.003912098	0.002825173	0.013037152	0.002535908	0.001551292	0.001957948	0.009765676	0.00530898	0.001172677	0.005702085	0.000134865	0.00282538	0.001557787	0.018487249
Rubrobacteria	0.0194365	0.010150202	0.0016009	0.009301669	0.007099439	0.001735095	0.014277232	0.01554552	0.002363224	0.00347972	0.001383758	0.00471601	0.01492021	0.012777637	0.011849127	0.003551223
Salinimicrobium	0	0.003685064	0.000825037	4.70862E-05	0	0	0.001016363	0.000432913	3.47533E-05	0.002413798	0.000844327	0	0.001618384	0.000196047	0.002900136	0.024197058
Salinispora	0.0021449	0.001061246	0.001027199	0.014434066	0.000246427	1.02668E-05	0.001208938	0.00046243	0.000225896	0.008548008	0.000738786	0.001586294	0.003852457	0.017182923	0.010937655	0.001201149
Serratia	0.000714967	0	0	0	0	0	0	0.00018694	0	0.000426369	0	0	0	0	0	0
Solirubrobacter	0.001178371	0.00227875	1.09276E-05	0.004447507	0.00600812	0	0.002995598	0.006326436	0.001972249	0.00392672	0	0.005839278	0.009437641	0.00916807	0.010042756	0.002350074
Solirubrobacterales	0.001456414	0.003333485	0.009436024	0.001472514	0.002792837	0.007361321	0.00141221	0.003109104	0.000599494	0.001574814	0.001336851	0.001654891	0.007279796	0.006065918	0.008103808	0.002141179
Spartobacteria	0.004210359	0.004375199	0.000923386	0.000667768	0.001619376	0.00123202	0.004862497	0.013833545	0.002198146	0.002489444	0.002145998	0.009311977	0.023152858	0.009341052	0.010921083	0.000435199
Sphaerobacter	0.004461921	0.009896284	0.017385888	0.029664318	0.061301603	0.00648864	0.002123665	0.008333579	0.008775207	0.004834473	0.009498681	0.031803059	0.002773535	0.004197707	0.003513307	0.032831404
Sphingobacteriales	0.002648025	0.001933682	0.000355149	0.000239712	5.86731E-05	0.001355222	0.001663626	0.000226296	0.00010426	0.00330092	0.001536206	0.000145768	0.003691205	0.021991835	0.01014219	0.000261119
Sphingomonadaceae	0.034848003	0.037039448	0.059282491	0.032356794	0.050177193	0.075666574	0.056809368	0.042760018	0.082539076	0.052168292	0.071146291	0.062860132	0.033191529	0.016490993	0.088992741	0.02597267
Sporolactobacillus	0	0.00027345	5.46382E-06	0.000184064	0.000445915	0.00058521	5.34928E-06	0.000531303	0.002458796	0.015067325	0.000257989	0.000960351	0.00011141	1.15322E-05	0	0
Staphylococcus	0	0.000208343	0.000393395	0.000273956	0	0	0	0	0.000356221	0	0	0	0	0	1.65722E-05	0
Stenotrophobacter	0.014339053	0.003912939	0.004218072	0.001583809	0.001255603	0.005041016	0.009468228	0.006680638	0.005916748	0.001781121	0.004034008	0.010795377	0.010097308	0.01114007	0.024526864	0
Streptococcus	0	0	0	0	0	1.02668E-05	0	9.83894E-06	0	6.87692E-06	0	0	0	0	0	0
Streptomyces	0.004024997	0.036570677	0.000584629	0.006412287	0.004846394	0.012628207	0.020150743	0.004447199	0.006759516	0.020589489	0.000633245	0.00108897	0.005978052	0.005466245	0.001839515	0.001671164
Streptosporangiaceae	0.007877873	0.005117421	0.007321524	0.030447662	0.024126358	0.009753493	0.001198239	0.000767437	0.0063251	0.007117609	0.00272061	0.002520922	0.000293185	0.001268538	0.001325776	0.002994168
Sulfuricaulis	0.000529605	0.000390643	0	0	0	0	0.001321272	0.000491947	9.55716E-05	0.000921507	0.002075638	0	0	0	0	0
Sulfurospirillum	0.000198602	0	0	0	0	0.000359339	6.95407E-05	0	0.000764572	0	0	0.00020579	9.38194E-05	0.000230643	0	0
Synergistaceae	0.005176888	6.51071E-06	0	0	0	0	0.001321272	0.004653817	0.000121637	0.000295707	0	0.002658115	0.000375277	0.000830316	0	0
Thermoleophilia	0.009599089	0.001718828	0.002387691	0.001832082	0.022870755	2.05337E-05	0.008965395	0.017631374	0.000755884	0.00339032	0.004854881	0.001740637	0.003169335	0.001729824	0.004126479	0.014779354
Thermoleophilum	0.003720475	0.029623746	0.028668685	0.012062633	0.020277406	0.006108767	0.008697931	0.008796009	0.003692538	0.00292269	0.032178247	0.00905474	0.01082734	0.010079111	0.010241623	0.010775524
Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermosipho	0	0	0	0	0.000574996	0.000646811	0.000283512	0.014256619	0	0.001045291	0	0.001886404	0	0	0	0
Thermotogales	0	0	0	0	0	0.000513342	0	0	0	0	0	0.000291535	0	0	0	0
Thiobacter	0.013915369	0.017227348	0.004578685	0.011715907	0.012884602	0.012751409	0.016288562	0.006877417	0.018905793	0.017522384	0.004702433	0.007742832	0.034886141	0.019339438	0.019803785	0.006997998
Verrucomicrobia_SB3	0.013875649	0.008431374	0.009381386	0.013000077	0.0079678	0.016704141	0.009553816	0.003433789	0.007046231	0.010391021	0.008372911	0.005599191	0.00404596	0.004416819	0.002336681	0.000139264
Wolbachia	0	0	0	0	0	0	0	9.83894E-06	0	0	0	0	0	0	0	0
