X16S_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
merged_16S_1941	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	
merged_16S_503	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
merged_16S_42	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
merged_16S_501	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales	Bacillales	
merged_16S_658	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
merged_16S_1528	Bacteria	Firmicutes	Bacilli	Bacilli	Bacilli	Bacilli	
merged_16S_14	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	
merged_16S_6319	Bacteria	Proteobacteria	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovoracaceae	
merged_16S_401	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellamassilia	
merged_16S_2023	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
merged_16S_3204	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Lentimicrobiaceae	Lentimicrobium	
merged_16S_2132	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
merged_16S_6173	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales	Bacteroidales	
merged_16S_944	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidetes	Bacteroidetes	Bacteroidetes	
merged_16S_1240	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidetes _II_IncSed	Rhodothermaceae	Rhodothermus	
merged_16S_12480	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia	Bacteroidia	Bacteroidia	
merged_16S_11801	Bacteria	Balneolaeota	Balneolia	Balneolales	Balneolaceae	Balneolaceae	
merged_16S_1549	Bacteria	Proteobacteria	Oligoflexia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
merged_16S_158	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	
merged_16S_19862	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriales	Cand Ancillula	
merged_16S_11275	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
merged_16S_529	Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	
merged_16S_182	Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Pyrinomonadaceae	Brevitalea	
merged_16S_5408	Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellales	Blastocatellales	
merged_16S_2854	Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	
merged_16S_5764	Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Solibacteraceae	Cand_Solibacter	
merged_16S_2909	Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacterales	Bryobacterales	
merged_16S_51	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales	Thiobacter	
merged_16S_25	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae	
merged_16S_162	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	
merged_16S_1057	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderiaceae	
merged_16S_6794	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenaceae	
merged_16S_2953	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Cand_Amarolineaceae	Cand Amarolinea	
merged_16S_271	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineales	Caldilineales	
merged_16S_915	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilineaceae	
merged_16S_4681	Bacteria	Calditrichaeota	Calditrichaeota	Calditrichaeota	Calditrichaeota	Calditrichaeota	
merged_16S_2433	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix	
merged_16S_18	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum	
merged_16S_17535	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	
merged_16S_4065	Bacteria	Cand_Babeliae	Cand_Babeliae	Cand_Babeliales	Cand_Babeliaceae	Cand_Babela	
merged_16S_3	Bacteria	Cand_Bacteria.NC10	Cand_Bacteria.NC10	Cand_Bacteria.NC10	Cand_Bacteria.NC10	Cand_Methylomirabilis	
merged_16S_592	Bacteria	Planctomycetes	Cand_Brocadiae	Cand_Brocadiales	Cand_Brocadiaceae	Cand Kuenenia	
merged_16S_16903	Archaea	Cand_Micrarchaeota	Cand_Micrarchaeota	Cand_Micrarchaeota	Cand_Micrarchaeota	Cand_Mancarchaeum	
merged_16S_146	Archaea	Thaumarchaeota	Nitrososphaeria	Cand_Nitrosocaldales	Cand_Nitrosocaldaceae	Cand Nitrosocaldus	
merged_16S_2701	Bacteria	Cand_Peregrinibacteria	Cand_Peribacteria	Cand_Peribacterales	Cand_Peribacterales	Cand Peribacter	
merged_16S_6520	Bacteria	Cand_Peregrinibacteria	Cand_Peribacteria	Cand_Peribacteria	Cand_Peribacteria	Cand_Peribacteria	
merged_16S_8679	Bacteria	Cand_Saccharibacteria	Cand_Saccharibacteria	Cand_Saccharibacteria	Cand_Saccharibacteria	Cand_Saccharimonas	
merged_16S_7229	Bacteria	Cand_Parcubacteria	Cand_Sonnebornia	Cand_Sonnebornia	Cand_Sonnebornia	Cand_Sonnebornia	
merged_16S_4954	Bacteria	Cand_Sumerlaeota	Cand_Sumerlaeia	Cand_Sumerlaeales	Cand_Sumerlaeaceae	Cand Sumerlaeaceae	
merged_16S_534	Bacteria	Cand_Tectomicrobia	Cand_Tectomicrobia	Cand_Tectomicrobia	Cand_Tectomicrobia	Cand_Entotheonella	
merged_16S_6922	Bacteria	Chloroflexi	Cand_Thermofonsia	Cand_Thermofonsia	Cand_Thermofonsia	Cand_Roseilinea	
merged_16S_16866	Bacteria	Armatimonadetes	Armatimonadia	Capsulimonadales	Capsulimonadaceae	Capsulimonas	
merged_16S_9651	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Actinospicaceae	Actinocrinis	
merged_16S_753	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
merged_16S_10924	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter	
merged_16S_2283	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea	
merged_16S_18014	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionales	Cellvibrionales	
merged_16S_2469	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	
merged_16S_3881	Bacteria	Fibrobacteres	Chitinispirillia	Chitinispirillales	Chitinispirillaceae	Chitinispirillum	
merged_16S_183	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Cnuella	
merged_16S_4370	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiales	Chlamydiales	
merged_16S_19719	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	
merged_16S_20066	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Cand Clavichlamydiaceae	Cand Clavichlamydia	
merged_16S_3014	Bacteria	Chlamydiae	Chlamydiia	Chlamydiia	Chlamydiia	Chlamydiia	
merged_16S_3359	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Prosthecochloris	
merged_16S_2432	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	
merged_16S_783	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	
merged_16S_13004	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexales	Chloroflexales	
merged_16S_12283	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Cand Chloroploca	
merged_16S_20	Bacteria	Chloroflexi	Chloroflexi	Chloroflexi	Chloroflexi	Chloroflexi	
merged_16S_3635	Bacteria	Chloroflexi	Chloroflexia	Chloroflexia	Chloroflexia	Chloroflexia	
merged_16S_17778	Bacteria	Proteobacteria	Cyanobacteria	Chromatiales	Thioprofundaceae	Thioprofundum	
merged_16S_4249	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	
merged_16S_211	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiales	Chromatiales	
merged_16S_511	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Cand_Macondimonas	
merged_16S_289	Bacteria	Cyanobacteria	Cyanobacteria	Chroococcales	Microcystaceae	Microcystis	
merged_16S_6559	Bacteria	Cyanobacteria	Cyanobacteria	Chroococcales	Aphanothecaceae	Cand Atelocyanobacterium	
merged_16S_19345	Bacteria	Cyanobacteria	Cyanobacteria	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	
merged_16S_12758	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	Cand_Udaeobacter	
merged_16S_15897	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	
merged_16S_133	Bacteria	Firmicutes	Clostridia	Clostridia	Clostridia	Clostridia	
merged_16S_3327	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	
merged_16S_705	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae	
merged_16S_18759	Bacteria	Firmicutes	Clostridia	Clostridiales	Proteinivoraceae	Proteinivorax	
merged_16S_4610	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae	
merged_16S_951	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcaceae	
merged_16S_8699	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Hungateiclostridiaceae	
merged_16S_6740	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacteriaceae	
merged_16S_5509	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Dethiobacter	
merged_16S_669	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
merged_16S_894	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales	Clostridiales	
merged_16S_15338	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	
merged_16S_293	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_XVI	Carboxydocella	
merged_16S_767	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Cand_Heliomonas	
merged_16S_1294	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
merged_16S_6749	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_XIII	Aminipila	
merged_16S_5588	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae	
merged_16S_11014	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	
merged_16S_1444	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Williamsiaceae	Williamsia	
merged_16S_1876	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	
merged_16S_94	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteriaceae	
merged_16S_236	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriales	Lawsonella	
merged_16S_11372	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	
merged_16S_1665	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	
merged_16S_76	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	
merged_16S_6255	Bacteria	Actinobacteria	Actinobacteria	Cryptosporangiales	Cryptosporangiaceae	Cryptosporangium	
merged_16S_2745	Bacteria	Cyanobacteria	Cyanobacteria	Cyanobacteria	Cyanobacteria	Cyanobacteria	
merged_16S_20226	Bacteria	Tenericutes	Cyanobacteria	Cyanobacteria	Cyanobacteria	Cand_Izimaplasma	
merged_16S_4631	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga	
merged_16S_244	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	
merged_16S_208	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	
merged_16S_2220	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagales	Cytophagales	
merged_16S_8904	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae	
merged_16S_8137	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Catalimonadaceae	Catalimonadaceae	
merged_16S_17371	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Amoebophilaceae	Cand Cardinium	
merged_16S_19006	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	
merged_16S_724	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidia	Dehalococcoidia	Dehalogenimonas	
merged_16S_5430	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	
merged_16S_3175	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	
merged_16S_60	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria	Deltaproteobacteria	Deltaproteobacteria	
merged_16S_630	Bacteria	Firmicutes	Clostridia	Deltaproteobacteria	Deltaproteobacteria	Deltaproteobacteria	
merged_16S_9290	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria	Cand_Desulfofervidaceae	Cand Desulfofervidus	
merged_16S_8103	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus	
merged_16S_1079	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbaceae	
merged_16S_991	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacterales	Desulfobacterales	
merged_16S_2332	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacteraceae	
merged_16S_13335	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfoarculaceae	Desulfoarculus	
merged_16S_2666	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionales	Desulfovibrionales	
merged_16S_1156	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
merged_16S_2120	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfothermus	
merged_16S_1935	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	
merged_16S_17769	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	
merged_16S_15979	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Hippea	
merged_16S_2980	Bacteria	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae	
merged_16S_2954	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcaceae	
merged_16S_670	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	
merged_16S_116	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	
merged_16S_5292	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadales	Desulfuromonadales	
merged_16S_3226	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	
merged_16S_1377	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	
merged_16S_11697	Bacteria	Actinobacteria	Nitriliruptoria	Egibacterales	Egibacteraceae	Egibacter	
merged_16S_8413	Bacteria	Actinobacteria	Nitriliruptoria	Egicoccales	Egicoccaceae	Egicoccus	
merged_16S_4663	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobia	Elusimicrobia	Elusimicrobia	
merged_16S_2932	Bacteria	Elusimicrobia	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	
merged_16S_47	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	
merged_16S_2424	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	
merged_16S_62	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	
merged_16S_493	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacterales	Enterobacterales	
merged_16S_15677	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	
merged_16S_918	Archaea	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	
merged_16S_754	Bacteria	Actinobacteria	Nitriliruptoria	Euzebyales	Euzebyaceae	Euzebya	
merged_16S_10096	Bacteria	Proteobacteria	Betaproteobacteria	Ferrovales	Ferrovaceae	Ferrovum	
merged_16S_6696	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	
merged_16S_56	Bacteria	Firmicutes	Firmicutes	Firmicutes	Firmicutes	Firmicutes	
merged_16S_6119	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Salinirepens	
merged_16S_2238	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium	
merged_16S_19537	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	
merged_16S_9271	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales	Flavobacteriales	
merged_16S_17061	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriia	Flavobacteriia	Flavobacteriia	
merged_16S_10343	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiales	Frankiales	
merged_16S_3040	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	
merged_16S_3086	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
merged_16S_175	Bacteria	Actinobacteria	Rubrobacteria	Gaiellales	Gaiellaceae	Gaiella	
merged_16S_15922	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Cand_Competibacteraceae	Plasticicumulans	
merged_16S_71	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria	
merged_16S_38	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
merged_16S_835	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes	
merged_16S_78	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	
merged_16S_12623	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	
merged_16S_5289	Bacteria	Actinobacteria	Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces	
merged_16S_15522	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Sporohalobacter	
merged_16S_15549	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobiaceae	
merged_16S_12335	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis	
merged_16S_6868	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	
merged_16S_343	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Holophaga	
merged_16S_5891	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporales	Holosporales	
merged_16S_961	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Cand_Bealeia	
merged_16S_7668	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Cand Paracaedibacteraceae	Cand Paracaedibacteraceae	
merged_16S_1150	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Caedimonadaceae	Cand Nucleicultrix	
merged_16S_339	Bacteria	Proteobacteria	Hydrogenophilalia	Hydrogenophilales	Hydrogenophilaceae	Hydrogenophilus	
merged_16S_2109	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	
merged_16S_1393	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	
merged_16S_15919	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriales	Ignavibacteriales	
merged_16S_203	Bacteria	Proteobacteria	Gammaproteobacteria	Immundisolibacterales	Immundisolibacteraceae	Immundisolibacter	
merged_16S_8510	Bacteria	Proteobacteria	Alphaproteobacteria	Iodidimonadales	Iodidimonadales	Iodidimonadales	
merged_16S_4078	Bacteria	Actinobacteria	Actinobacteria	Jiangellales	Jiangellaceae	Jiangellaceae	
merged_16S_2492	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	Kallotenuaceae	Kallotenue	
merged_16S_712	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporiaceae	
merged_16S_11990	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	
merged_16S_14358	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga	
merged_16S_527	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Dictyobacteraceae	Tengunoibacter	
merged_16S_210	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacterales	Ktedonobacterales	
merged_16S_3294	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	
merged_16S_1710	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacteria	Ktedonobacteria	Ktedonobacteria	
merged_16S_252	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
merged_16S_1255	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	
merged_16S_4836	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
